Reference_Group,Approach_Family,Primary_Contribution,Research_Gap,Addressed_by_Proposed_Framework
"[1-2]","Energy modelling and metaheuristic scheduling","Establishes energy-aware objectives and optimization strategies","No semantic adaptation and limited online learning","Yes; semantic objective modulation and adaptive multi-agent control"
"[3-4]","Deep reinforcement learning and scheduling surveys","Summarizes learning-based resource scheduling","Fixed reward structures and limited workload-intent interpretation","Yes; runtime objective reweighting from structured semantics"
"[5]","Renewable-aware multi-agent scheduling","Coordinates agents for renewable-energy-aware execution","No language-guided interpretation of workload intent","Yes; semantic controller guides decentralized agents"
"[7-9]","Dynamic job-shop reinforcement learning","Learns policies for changing job arrivals and machine availability","Manufacturing-oriented action spaces and no cloud-edge semantic layer","Partly; cloud-edge placement and semantic constraints are explicitly modelled"
"[10]","Energy and performance-aware cloud scheduling","Balances energy and performance in heterogeneous virtualized clouds","Does not jointly optimize semantic SLA intent, fairness, and carbon","Yes; five-objective reward with dynamic priorities"
"[14-19]","Heuristic and evolutionary cloud scheduling","Provides priority, multi-objective, and population-based search methods","Offline optimization, expensive search, and weak adaptation to context drift","Yes; online cooperative learning and drift-triggered semantic refresh"
"[20-30]","Energy-efficient manufacturing scheduling","Develops advanced multi-objective energy optimization","Domain-specific assumptions and no container orchestration feedback loop","Partly; optimization principles are transferred to cloud-edge scheduling"
"[31-35]","Constrained multi-objective optimization","Improves trade-off search under several objectives","No real-time semantic reasoning or decentralized execution","Yes; semantic weights and node-level agents operate in a closed loop"
"[36-41]","LLM-assisted operations and explainability","Uses language models for diagnostics, planning, or policy interpretation","Predominantly advisory and outside the time-critical actuation path","Yes; semantic outputs directly modulate scheduling objectives"
"[42-45]","Hybrid LLM and multi-agent decision systems","Combines semantic reasoning with distributed decisions","Limited end-to-end evidence for energy, SLA, fairness, drift, and cloud-edge heterogeneity","Yes; complete simulator, ablations, public data, and statistical evaluation"
