prompt_id,source_workload_id,prompt,target_sla,target_energy,target_imbalance,target_fairness,target_carbon
prompt-000000,workload-003539,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=burst; cpu=5.80; memory_gb=15.37; latency_budget_ms=318.9; energy_sensitivity=0.84; edge_locality=0.01",0.2,0.3,0.17,0.1,0.23
prompt-000001,workload-002667,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=2.85; memory_gb=2.49; latency_budget_ms=98.9; energy_sensitivity=0.30; edge_locality=0.45",0.45,0.14,0.18,0.13,0.1
prompt-000002,workload-003542,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=burst; cpu=2.64; memory_gb=4.48; latency_budget_ms=54.2; energy_sensitivity=0.41; edge_locality=0.77",0.5,0.13,0.14,0.1,0.13
prompt-000003,workload-001466,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=high-contention; cpu=2.04; memory_gb=7.24; latency_budget_ms=122.5; energy_sensitivity=0.37; edge_locality=0.53",0.45,0.14,0.18,0.13,0.1
prompt-000004,workload-002590,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=2.55; memory_gb=2.42; latency_budget_ms=53.9; energy_sensitivity=0.63; edge_locality=0.82",0.53,0.13,0.13,0.08,0.13
prompt-000005,workload-003963,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=energy-scarcity; cpu=1.10; memory_gb=5.12; latency_budget_ms=38.3; energy_sensitivity=0.49; edge_locality=0.84",0.48,0.18,0.1,0.08,0.16
prompt-000006,workload-001593,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=2.99; memory_gb=4.63; latency_budget_ms=49.2; energy_sensitivity=0.55; edge_locality=0.98",0.53,0.13,0.13,0.08,0.13
prompt-000007,workload-000275,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=6.04; memory_gb=16.31; latency_budget_ms=285.3; energy_sensitivity=0.97; edge_locality=0.23",0.26,0.27,0.17,0.1,0.2
prompt-000008,workload-000973,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=3.18; memory_gb=1.98; latency_budget_ms=112.1; energy_sensitivity=0.31; edge_locality=0.55",0.45,0.14,0.18,0.13,0.1
prompt-000009,workload-001287,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=high-contention; cpu=1.59; memory_gb=6.85; latency_budget_ms=101.3; energy_sensitivity=0.49; edge_locality=0.41",0.45,0.14,0.18,0.13,0.1
prompt-000010,workload-002002,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=high-contention; cpu=5.25; memory_gb=6.14; latency_budget_ms=104.2; energy_sensitivity=0.39; edge_locality=0.34",0.31,0.23,0.18,0.15,0.13
prompt-000011,workload-004697,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=energy-scarcity; cpu=0.69; memory_gb=1.41; latency_budget_ms=43.7; energy_sensitivity=0.64; edge_locality=0.86",0.54,0.15,0.1,0.08,0.13
prompt-000012,workload-002166,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=2.01; memory_gb=2.59; latency_budget_ms=38.1; energy_sensitivity=0.45; edge_locality=0.87",0.53,0.13,0.13,0.08,0.13
prompt-000013,workload-002106,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=high-contention; cpu=6.65; memory_gb=7.26; latency_budget_ms=108.2; energy_sensitivity=0.51; edge_locality=0.61",0.31,0.23,0.18,0.15,0.13
prompt-000014,workload-004965,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=energy-scarcity; cpu=5.06; memory_gb=15.15; latency_budget_ms=292.1; energy_sensitivity=0.93; edge_locality=0.18",0.21,0.32,0.14,0.1,0.23
prompt-000015,workload-000545,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=normal; cpu=2.07; memory_gb=5.00; latency_budget_ms=55.2; energy_sensitivity=0.43; edge_locality=0.95",0.53,0.13,0.13,0.08,0.13
prompt-000016,workload-002812,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=burst; cpu=4.83; memory_gb=9.71; latency_budget_ms=306.0; energy_sensitivity=0.76; edge_locality=0.10",0.26,0.27,0.17,0.1,0.2
prompt-000017,workload-002451,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=high-contention; cpu=1.82; memory_gb=1.67; latency_budget_ms=75.9; energy_sensitivity=0.48; edge_locality=0.62",0.45,0.14,0.18,0.13,0.1
prompt-000018,workload-002546,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=burst; cpu=4.51; memory_gb=9.21; latency_budget_ms=151.9; energy_sensitivity=0.67; edge_locality=0.59",0.31,0.23,0.18,0.15,0.13
prompt-000019,workload-003508,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=burst; cpu=10.44; memory_gb=21.07; latency_budget_ms=271.2; energy_sensitivity=0.77; edge_locality=0.05",0.2,0.3,0.17,0.1,0.23
prompt-000020,workload-003153,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=3.45; memory_gb=2.51; latency_budget_ms=107.4; energy_sensitivity=0.34; edge_locality=0.36",0.45,0.14,0.18,0.13,0.1
prompt-000021,workload-002287,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=high-contention; cpu=6.42; memory_gb=13.46; latency_budget_ms=210.9; energy_sensitivity=0.43; edge_locality=0.66",0.31,0.23,0.18,0.15,0.13
prompt-000022,workload-003793,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=energy-scarcity; cpu=2.95; memory_gb=1.86; latency_budget_ms=122.6; energy_sensitivity=0.42; edge_locality=0.31",0.46,0.16,0.15,0.13,0.1
